Date,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська,Київ,Крим,Севастополь,УКРАЇНА
2020-03-25,0,1,2,1,2,0,2,5,22,0,1,2,0,1,0,0,0,4,0,0,0,1,38,0,31,7,0,113
2020-03-26,1,2,2,1,2,0,7,16,24,0,1,2,0,4,0,0,0,15,0,1,0,2,42,0,34,7,0,156
2020-03-27,5,2,3,2,2,1,8,24,32,0,1,3,0,4,0,9,0,25,0,1,0,2,47,0,47,14,0,218
2020-03-28,16,2,6,2,4,1,10,28,41,0,2,5,1,6,1,9,5,43,1,1,1,3,47,1,74,14,0,311
2020-03-29,22,2,6,2,5,1,11,41,45,0,2,5,0,8,1,9,6,57,1,1,1,46,59,1,82,15,0,418
2020-03-30,23,2,8,6,5,1,11,41,49,4,2,6,0,8,1,11,9,60,1,1,2,50,75,2,102,15,0,480
2020-03-31,36,3,9,6,5,1,13,45,52,4,2,6,0,11,1,13,10,78,1,1,3,50,90,2,107,15,0,549
2020-04-01,49,7,9,6,5,1,13,64,57,6,3,6,0,12,2,15,19,98,1,1,3,52,104,2,134,16,0,669
2020-04-02,51,10,10,7,6,1,19,74,64,7,3,11,0,14,5,19,26,106,1,4,6,54,143,3,160,,,804
2020-04-03,61,10,12,8,6,24,22,81,70,15,3,13,0,20,5,25,30,114,1,4,7,55,171,5,180,18,0,942
2020-04-04,66,17,14,8,9,24,28,94,77,19,3,14,0,26,8,31,37,135,1,8,10,60,206,5,195,,,1096
2020-04-05,75,19,14,8,11,28,39,105,82,37,3,15,,26,9,38,49,160,1,10,10,60,220,7,225,,,1251
2020-04-06,75,24,14,9,11,35,41,116,91,41,3,27,,27,11,39,51,160,1,10,10,62,220,7,234,,,1319
2020-04-07,77,34,15,10,11,38,41,160,97,53,3,29,,30,12,40,51,168,1,13,10,62,247,7,253,21,0,1462
2020-04-08,89,36,41,11,21,43,45,198,120,57,3,36,,32,17,44,56,168,5,15,15,80,273,7,256,22,0,1668
2020-04-09,102,38,41,11,31,51,47,218,130,78,3,61,,43,19,64,56,169,5,18,16,80,302,9,300,26,0,1892
2020-04-10,119,41,52,11,41,56,54,254,140,82,3,82,0,46,20,85,63,196,6,27,16,86,366,9,348,,,2203
2020-04-11,151,52,55,11,74,60,64,274,149,106,3,96,0,51,24,103,69,208,8,28,18,93,409,9,396,29,0,2511
2020-04-12,174,71,58,11,74,82,83,291,159,118,3,111,2,63,25,119,73,243,11,31,19,99,432,9,416,31,0,2777
2020-04-13,194,78,60,11,94,92,85,300,216,142,3,124,5,69,25,125,74,273,11,31,22,102,462,9,495,32,0,3102
2020-04-14,200,80,71,12,112,99,89,332,224,144,3,136,5,69,26,134,74,280,14,34,22,105,546,10,551,,,3372
2020-04-15,241,100,74,12,130,110,99,356,230,192,4,152,14,70,27,173,77,287,25,41,34,105,589,10,612,,,3764
2020-04-16,279,109,78,12,162,116,115,401,234,198,4,166,22,73,27,204,80,333,40,44,37,110,662,11,644,34,0,4161
2020-04-17,296,122,89,12,177,150,118,427,253,218,9,203,22,93,41,240,81,353,56,51,38,137,759,12,705,40,0,4662
2020-04-18,319,134,104,14,197,166,127,462,280,234,9,221,31,106,49,283,82,366,62,56,41,141,840,12,770,43,0,5106
