Canton,Population,Density,O65,O65P,Beds,BedsPerCapita
Вінницька,1560394,58.85,0.170,265267,10822,0.006935427847
Волинська,1035330,51.4,0.128,132522,7257,00700935933
Дніпропетровська,3206477,100.47,0.157,503417,28254,0.00881153989
Донецька,4165901,157.1,0.170,708203,12814,0.00307592
Житомирська,1220193,40.9,0.161,196451,8451,0.00692595
Закарпатська,1256802,98.36,0.111,139505,8508,0.006769562
Запорізька,1705836,62.76,0.158,269522,14400,0.0084416
Івано-Франківська,1373252,98.6,0.138,189508,10540,0.00767521183
Київська,1767940,62.76,0.153,270494,12673,0.007168229691
Кіровоградська,945549,38.46,0.170,160743,8072,0.008536839
Луганська,2151833,80.64,0.163,350748,6495,0.00301835690
Львівська,2522021,115.51,0.143,360649,20840,0.00826321430
Миколаївська,1131096,45.98,0.146,165140,8051,0.0071178750
Одеська,2380308,71.46,0.140,333243,18468,0.00775865980
Полтавська,1400439,48.71,0.169,236674,11133,0.007949650074
Рівненська,1157301,57.73,0.121,140033,8562,0.00739824816
Сумська,1081418,45.37,0.165,178433,8950,0.00827617073
Тернопільська,1045879,75.66,0.153,160019,8730,0.00834704588
Харківська,2675598,85.17,0.152,406690,22426,0.008381677666
Херсонська,1037640,36.46,0.144,149420,7989,0.0076992020
Хмельницька,1264705,61.31,0.164,207411,10006,0.00791172645
Черкаська,1206351,57.72,0.175,211111,9821,0.00814108
Чернівецька,904374,111.69,0.136,122994,6616,0.0073155575
Чернігівська,1005745,31.56,0.187,188074,9435,0.009381105548
Київ,2950819,3517.07,0.126,371803,29423,0.00997113
Крим,1968550,75.48,0.147,289377,17198,0.0087363795687
Севастополь,385998,357.74,0.154,59444,3375,0.0087435686
УКРАЇНА,44507749,74.12,0.152,6765178,308736,0.0069366797
